42 0
C	1.266	0	0
C	-1.266	0	0
H	2.305	1.8	0
H	2.305	-1.8	0
H	-2.305	1.8	0
H	-2.305	-1.8	0
C	1.266	0	1000
C	-1.266	0	1000
H	2.305	1.8	1000
H	2.305	-1.8	1000
H	-2.305	1.8	1000
H	-2.305	-1.8	1000
C	1.266	0	2000
C	-1.266	0	2000
H	2.305	1.8	2000
H	2.305	-1.8	2000
H	-2.305	1.8	2000
H	-2.305	-1.8	2000
C	1.266	0	3000
C	-1.266	0	3000
H	2.305	1.8	3000
H	2.305	-1.8	3000
H	-2.305	1.8	3000
H	-2.305	-1.8	3000
C	1.266	0	4000
C	-1.266	0	4000
H	2.305	1.8	4000
H	2.305	-1.8	4000
H	-2.305	1.8	4000
H	-2.305	-1.8	4000
C	1.266	0	5000
C	-1.266	0	5000
H	2.305	1.8	5000
H	2.305	-1.8	5000
H	-2.305	1.8	5000
H	-2.305	-1.8	5000
C	1.266	0	6000
C	-1.266	0	6000
H	2.305	1.8	6000
H	2.305	-1.8	6000
H	-2.305	1.8	6000
H	-2.305	-1.8	6000
